parcel_id,objects_over,best_iou,chip
6733272,3,0.1884,g13_00006_12.tif
6733273,7,0.287,g13_00006_12.tif
6733275,2,0.1871,g13_00006_12.tif
6733747,2,0.146,g13_00006_12.tif
6733959,1,0.1111,g13_00006_12.tif
6802503,4,0.3156,g13_00006_12.tif
6803482,5,0.4198,g13_00006_12.tif
6879486,7,0.3482,g13_00006_12.tif
6916073,4,0.3231,g13_00006_12.tif
6987753,2,0.5636,g13_00006_12.tif
7049945,7,0.3965,g13_00006_12.tif
7049954,3,0.3473,g13_00006_12.tif
7049957,13,0.2494,g13_00006_12.tif
7049958,8,0.2907,g13_00006_12.tif
6115133,4,0.8313,g13_00006_13.tif
6115134,7,0.5876,g13_00006_13.tif
6115178,2,0.3934,g13_00006_13.tif
6115225,5,0.23,g13_00006_13.tif
6165385,3,0.0968,g13_00006_13.tif
6166271,1,0.0684,g13_00006_13.tif
6166272,4,0.5185,g13_00006_13.tif
6166273,1,0.0474,g13_00006_13.tif
6166275,9,0.3166,g13_00006_13.tif
6166279,2,0.1011,g13_00006_13.tif
6227446,4,0.4013,g13_00006_13.tif
6378684,1,0.5059,g13_00006_13.tif
6378686,2,0.3832,g13_00006_13.tif
6378689,3,0.7756,g13_00006_13.tif
6378690,4,0.4857,g13_00006_13.tif
6378692,2,0.0187,g13_00006_13.tif
6420102,10,0.2721,g13_00006_13.tif
6420112,2,0.0593,g13_00006_13.tif
6420113,1,0.2154,g13_00006_13.tif
6420114,2,0.2214,g13_00006_13.tif
6420115,3,0.439,g13_00006_13.tif
6420116,2,0.1061,g13_00006_13.tif
6443934,4,0.527,g13_00006_13.tif
6476900,7,0.6896,g13_00006_13.tif
6476901,4,0.5664,g13_00006_13.tif
6476908,3,0.6745,g13_00006_13.tif
6496620,3,0.6456,g13_00006_13.tif
6496622,9,0.2569,g13_00006_13.tif
6496623,4,0.7843,g13_00006_13.tif
6496626,3,0.3153,g13_00006_13.tif
6496631,1,0.1062,g13_00006_13.tif
6496632,3,0.1454,g13_00006_13.tif
6496741,5,0.1136,g13_00006_13.tif
6503716,1,0.1102,g13_00006_13.tif
6503722,7,0.3654,g13_00006_13.tif
6503723,2,0.1094,g13_00006_13.tif
6503725,1,0.3197,g13_00006_13.tif
6503726,7,0.5988,g13_00006_13.tif
6503729,1,0.1405,g13_00006_13.tif
6503910,7,0.8051,g13_00006_13.tif
6503913,6,0.4498,g13_00006_13.tif
6503966,3,0.0667,g13_00006_13.tif
6504062,5,0.7455,g13_00006_13.tif
6504063,7,0.3745,g13_00006_13.tif
6504064,2,0.1623,g13_00006_13.tif
6523596,3,0.5729,g13_00006_13.tif
6578410,4,0.7209,g13_00006_13.tif
6625271,4,0.746,g13_00006_13.tif
6668356,6,0.4957,g13_00006_13.tif
6715455,8,0.2473,g13_00006_13.tif
6715465,6,0.3373,g13_00006_13.tif
6888878,6,0.65,g13_00006_13.tif
6888881,2,0.0732,g13_00006_13.tif
6888882,2,0.5976,g13_00006_13.tif
6888883,4,0.4043,g13_00006_13.tif
6917369,3,0.4228,g13_00006_13.tif
6917377,4,0.7433,g13_00006_13.tif
6917383,3,0.0522,g13_00006_13.tif
6945577,3,0.5246,g13_00006_13.tif
6098813,2,0.1298,g13_00006_5.tif
6098814,2,0.1455,g13_00006_5.tif
6166701,5,0.7933,g13_00006_5.tif
6469566,2,0.0616,g13_00006_5.tif
6649668,2,0.1908,g13_00006_5.tif
6649670,2,0.1429,g13_00006_5.tif
6649671,2,0.3113,g13_00006_5.tif
6649672,5,0.2348,g13_00006_5.tif
6649673,3,0.3668,g13_00006_5.tif
6649818,3,0.1538,g13_00006_5.tif
6895511,4,0.4,g13_00006_5.tif
6895518,3,0.3889,g13_00006_5.tif
6899202,3,0.2263,g13_00006_5.tif
6899203,1,0.1206,g13_00006_5.tif
6899212,5,0.3125,g13_00006_5.tif
6899213,2,0.4516,g13_00006_5.tif
6098812,6,0.5071,g13_00006_6.tif
6098814,1,0.1071,g13_00006_6.tif
6098816,4,0.3621,g13_00006_6.tif
6537427,2,0.4304,g13_00006_6.tif
6338980,6,0.4982,g13_00006_7.tif
6446137,1,0.3605,g13_00006_7.tif
6793026,1,0.0247,g13_00006_7.tif
6793028,3,0.0997,g13_00006_7.tif
6793029,6,0.2449,g13_00006_7.tif
6793030,2,0.1071,g13_00006_7.tif
6793031,1,0.0633,g13_00006_7.tif
6801711,1,0.0479,g13_00006_7.tif
6801712,1,0.0444,g13_00006_7.tif
6102575,4,0.0769,g13_00016_0.tif
6220602,2,0.1932,g13_00016_0.tif
6243944,2,0.102,g13_00016_0.tif
6243948,7,0.2375,g13_00016_0.tif
6248570,2,0.3293,g13_00016_0.tif
6309752,2,0.1026,g13_00016_0.tif
6343333,5,0.1451,g13_00016_0.tif
6959166,9,0.2354,g13_00016_0.tif
6243948,3,0.0714,g13_00016_1.tif
6092968,3,0.2878,g13_00017_17.tif
6112021,2,0.314,g13_00017_17.tif
6164514,5,0.8336,g13_00017_17.tif
6168691,2,0.0973,g13_00017_17.tif
6168692,3,0.4855,g13_00017_17.tif
6168693,1,0.1339,g13_00017_17.tif
6168694,5,0.7639,g13_00017_17.tif
6193419,3,0.8556,g13_00017_17.tif
6239504,4,0.1616,g13_00017_17.tif
6239505,2,0.4012,g13_00017_17.tif
6239746,2,0.0255,g13_00017_17.tif
6241660,5,0.841,g13_00017_17.tif
6257963,4,0.4517,g13_00017_17.tif
6257967,4,0.1714,g13_00017_17.tif
6298597,5,0.1064,g13_00017_17.tif
6298647,2,0.0836,g13_00017_17.tif
6335164,4,0.1325,g13_00017_17.tif
6335165,1,0.2331,g13_00017_17.tif
6357855,2,0.814,g13_00017_17.tif
6357856,5,0.6477,g13_00017_17.tif
6357859,1,0.0706,g13_00017_17.tif
6368730,5,0.3428,g13_00017_17.tif
6373005,2,0.6335,g13_00017_17.tif
6373841,3,0.5775,g13_00017_17.tif
6373935,6,0.1318,g13_00017_17.tif
6373937,1,0.0515,g13_00017_17.tif
6373938,3,0.2933,g13_00017_17.tif
6373939,4,0.2656,g13_00017_17.tif
6410172,6,0.7479,g13_00017_17.tif
6469623,1,0.0459,g13_00017_17.tif
6469625,3,0.8333,g13_00017_17.tif
6469709,3,0.474,g13_00017_17.tif
6477163,3,0.0939,g13_00017_17.tif
6477164,4,0.6909,g13_00017_17.tif
6477167,3,0.7532,g13_00017_17.tif
6477168,1,0.2524,g13_00017_17.tif
6500731,2,0.0053,g13_00017_17.tif
6606604,2,0.0781,g13_00017_17.tif
6617028,3,0.8125,g13_00017_17.tif
6639520,8,0.8718,g13_00017_17.tif
6639522,4,0.7057,g13_00017_17.tif
6639523,6,0.5818,g13_00017_17.tif
6639526,10,0.7,g13_00017_17.tif
6639528,8,0.7878,g13_00017_17.tif
6639530,3,0.7242,g13_00017_17.tif
6639538,6,0.9414,g13_00017_17.tif
6639542,5,0.9178,g13_00017_17.tif
6639546,4,0.8548,g13_00017_17.tif
6639548,3,0.3455,g13_00017_17.tif
6639554,3,0.4383,g13_00017_17.tif
6639759,2,0.302,g13_00017_17.tif
6647091,5,0.3318,g13_00017_17.tif
6647092,4,0.3284,g13_00017_17.tif
6658340,5,0.8034,g13_00017_17.tif
6658343,4,0.8144,g13_00017_17.tif
6668555,17,0.2588,g13_00017_17.tif
6668562,1,0.2383,g13_00017_17.tif
6676156,2,0.1722,g13_00017_17.tif
6676158,7,0.8612,g13_00017_17.tif
6676159,7,0.7636,g13_00017_17.tif
6713230,5,0.8631,g13_00017_17.tif
6717412,7,0.4694,g13_00017_17.tif
6717413,1,0.2905,g13_00017_17.tif
6717423,7,0.3835,g13_00017_17.tif
6717424,2,0.1969,g13_00017_17.tif
6717427,3,0.8667,g13_00017_17.tif
6717437,5,0.7227,g13_00017_17.tif
6846301,3,0.3005,g13_00017_17.tif
6846303,5,0.7699,g13_00017_17.tif
6846341,2,0.7455,g13_00017_17.tif
6846357,1,0.0451,g13_00017_17.tif
6853088,8,0.8684,g13_00017_17.tif
6853106,1,0.1429,g13_00017_17.tif
6881114,5,0.6152,g13_00017_17.tif
