country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found
slovenia,g13_00006_11.tif,6953134,946,1.62598,162.6,0.0,0
slovenia,g13_00006_11.tif,6987751,542,0.93159,93.16,0.0,0
slovenia,g13_00006_11.tif,6995387,865,1.48676,148.68,0.0,0
slovenia,g13_00006_11.tif,6995390,58,0.09969,9.97,0.0,0
slovenia,g13_00006_12.tif,6085722,98,0.16844,16.84,0.0,0
slovenia,g13_00006_12.tif,6089770,612,1.0519,105.19,0.0,0
slovenia,g13_00006_12.tif,6089772,64,0.11,11.0,0.0,0
slovenia,g13_00006_12.tif,6093624,1275,2.19146,219.15,0.0,0
slovenia,g13_00006_12.tif,6093625,1207,2.07459,207.46,0.0,0
slovenia,g13_00006_12.tif,6093628,272,0.46751,46.75,0.0,0
slovenia,g13_00006_12.tif,6093632,503,0.86455,86.46,0.0,0
slovenia,g13_00006_12.tif,6109021,802,1.37847,137.85,0.0,0
slovenia,g13_00006_12.tif,6109028,385,0.66174,66.17,0.0,0
slovenia,g13_00006_12.tif,6111252,44,0.07563,7.56,0.0,0
slovenia,g13_00006_12.tif,6166271,89,0.15297,15.3,0.0,0
slovenia,g13_00006_12.tif,6166272,8,0.01375,1.38,0.0,0
slovenia,g13_00006_12.tif,6166273,24,0.04125,4.13,0.0,0
slovenia,g13_00006_12.tif,6166275,104,0.17875,17.88,0.0,0
slovenia,g13_00006_12.tif,6166276,290,0.49845,49.85,0.0,0
slovenia,g13_00006_12.tif,6378684,39,0.06703,6.7,0.0,0
slovenia,g13_00006_12.tif,6378686,328,0.56377,56.38,0.0,0
slovenia,g13_00006_12.tif,6445437,39,0.06703,6.7,0.0,0
slovenia,g13_00006_12.tif,6445438,14,0.02406,2.41,0.0,0
slovenia,g13_00006_12.tif,6466917,811,1.39394,139.39,0.0,0
slovenia,g13_00006_12.tif,6466921,14,0.02406,2.41,0.0,0
slovenia,g13_00006_12.tif,6625247,1849,3.17805,317.81,0.0,0
slovenia,g13_00006_12.tif,6645080,9,0.01547,1.55,0.0,0
slovenia,g13_00006_12.tif,6733272,136,0.23376,23.38,0.0,0
slovenia,g13_00006_12.tif,6733273,304,0.52251,52.25,0.0,0
slovenia,g13_00006_12.tif,6733275,41,0.07047,7.05,0.0,0
slovenia,g13_00006_12.tif,6733747,69,0.1186,11.86,0.0,0
slovenia,g13_00006_12.tif,6733959,18,0.03094,3.09,0.0,0
slovenia,g13_00006_12.tif,6802503,113,0.19422,19.42,0.0,0
slovenia,g13_00006_12.tif,6803482,81,0.13922,13.92,0.0,0
slovenia,g13_00006_12.tif,6879486,359,0.61705,61.7,0.0,0
slovenia,g13_00006_12.tif,6916073,255,0.43829,43.83,0.0,0
slovenia,g13_00006_12.tif,6987753,96,0.165,16.5,0.0,0
slovenia,g13_00006_12.tif,7049945,797,1.36988,136.99,0.0,0
slovenia,g13_00006_12.tif,7049954,230,0.39532,39.53,0.0,0
slovenia,g13_00006_12.tif,7049957,1158,1.99037,199.04,0.0,0
slovenia,g13_00006_12.tif,7049958,520,0.89377,89.38,0.0,0
slovenia,g13_00006_13.tif,6115133,281,0.48298,48.3,0.0,0
slovenia,g13_00006_13.tif,6115134,97,0.16672,16.67,0.0938,0
slovenia,g13_00006_13.tif,6115178,78,0.13407,13.41,0.0984,0
slovenia,g13_00006_13.tif,6115225,154,0.26469,26.47,0.0655,0
slovenia,g13_00006_13.tif,6165385,42,0.07219,7.22,0.0769,0
slovenia,g13_00006_13.tif,6166271,13,0.02234,2.23,0.0,0
slovenia,g13_00006_13.tif,6166272,134,0.23032,23.03,0.0,0
slovenia,g13_00006_13.tif,6166273,9,0.01547,1.55,0.0,0
slovenia,g13_00006_13.tif,6166275,502,0.86284,86.28,0.8008,1
slovenia,g13_00006_13.tif,6166279,11,0.01891,1.89,0.0,0
slovenia,g13_00006_13.tif,6227446,226,0.38845,38.84,0.0,0
slovenia,g13_00006_13.tif,6378684,383,0.6583,65.83,0.3971,0
slovenia,g13_00006_13.tif,6378686,149,0.2561,25.61,0.0,0
slovenia,g13_00006_13.tif,6378689,149,0.2561,25.61,0.7132,1
slovenia,g13_00006_13.tif,6378690,92,0.15813,15.81,0.1042,0
slovenia,g13_00006_13.tif,6378692,8,0.01375,1.38,0.0,0
slovenia,g13_00006_13.tif,6420102,694,1.19284,119.28,0.2801,0
slovenia,g13_00006_13.tif,6420112,13,0.02234,2.23,0.0,0
slovenia,g13_00006_13.tif,6420113,28,0.04813,4.81,0.0,0
slovenia,g13_00006_13.tif,6420114,30,0.05156,5.16,0.0,0
slovenia,g13_00006_13.tif,6420115,120,0.20626,20.63,0.0,0
slovenia,g13_00006_13.tif,6420116,23,0.03953,3.95,0.0,0
slovenia,g13_00006_13.tif,6443934,220,0.37814,37.81,0.0,0
slovenia,g13_00006_13.tif,6476900,676,1.16191,116.19,0.0558,0
slovenia,g13_00006_13.tif,6476901,107,0.18391,18.39,0.71,1
slovenia,g13_00006_13.tif,6476908,295,0.50704,50.7,0.0,0
slovenia,g13_00006_13.tif,6496620,70,0.12032,12.03,0.0373,0
slovenia,g13_00006_13.tif,6496622,719,1.23581,123.58,0.3428,0
slovenia,g13_00006_13.tif,6496623,325,0.55861,55.86,0.7398,1
slovenia,g13_00006_13.tif,6496626,264,0.45376,45.38,0.3339,0
slovenia,g13_00006_13.tif,6496631,34,0.05844,5.84,0.0109,0
slovenia,g13_00006_13.tif,6496632,66,0.11344,11.34,0.0171,0
slovenia,g13_00006_13.tif,6496741,63,0.10828,10.83,0.0695,0
slovenia,g13_00006_13.tif,6503716,13,0.02234,2.23,0.0,0
slovenia,g13_00006_13.tif,6503722,373,0.64111,64.11,0.4501,0
slovenia,g13_00006_13.tif,6503723,35,0.06016,6.02,0.0,0
slovenia,g13_00006_13.tif,6503725,257,0.44173,44.17,0.288,0
slovenia,g13_00006_13.tif,6503726,304,0.52251,52.25,0.8685,1
slovenia,g13_00006_13.tif,6503729,113,0.19422,19.42,0.2,0
slovenia,g13_00006_13.tif,6503910,760,1.30628,130.63,0.3526,0
slovenia,g13_00006_13.tif,6503913,581,0.99862,99.86,0.2746,0
slovenia,g13_00006_13.tif,6503966,10,0.01719,1.72,0.0031,0
