composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0347,0,2.107,1,0,201,66.29
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1225,0,3.768,1,0,201,66.29
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0802,0,4.247,1,1,201,66.29
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2875,0,6.775,1,1,201,66.29
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.037,0,2.107,1,1,201,66.29
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0363,0,2.107,1,1,201,66.29
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1763,0,3.768,1,1,201,66.29
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2663,0,4.247,1,2,201,66.29
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1582,0,6.775,1,2,201,66.29
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0431,0,2.107,1,2,201,66.29
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0618,0,2.107,1,2,201,66.29
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0714,0,3.768,1,2,201,66.29
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.3049,0,4.247,0,0,249,66.29
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3722,0,6.775,0,0,249,66.29
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1043,0,2.107,0,0,249,66.29
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0478,0,2.107,0,0,249,66.29
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,249,66.29
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1308,0,4.247,1,0,249,66.29
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3253,0,6.775,1,0,249,66.29
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0497,0,2.107,1,0,249,66.29
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0849,0,2.107,1,0,249,66.29
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1373,0,3.768,1,0,249,66.29
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2114,0,4.247,1,1,249,66.29
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2468,0,6.775,1,1,249,66.29
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0333,0,2.107,1,1,249,66.29
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0517,0,2.107,1,1,249,66.29
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1229,0,3.768,1,1,249,66.29
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1485,0,4.247,1,2,249,66.29
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1628,0,6.775,1,2,249,66.29
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0519,0,2.107,1,2,249,66.29
