draw,null_recall,method_recall,seed
94,0.020676,0.027231,20260922
95,0.017650,0.027231,20260922
96,0.021684,0.027231,20260922
97,0.024710,0.027231,20260922
98,0.018154,0.027231,20260922
99,0.022189,0.027231,20260922
100,0.019163,0.027231,20260922
101,0.018659,0.027231,20260922
102,0.023701,0.027231,20260922
103,0.013616,0.027231,20260922
104,0.025214,0.027231,20260922
105,0.030761,0.027231,20260922
106,0.018154,0.027231,20260922
107,0.018154,0.027231,20260922
108,0.024710,0.027231,20260922
109,0.022693,0.027231,20260922
110,0.017650,0.027231,20260922
111,0.018154,0.027231,20260922
112,0.021180,0.027231,20260922
113,0.022189,0.027231,20260922
114,0.020171,0.027231,20260922
115,0.022189,0.027231,20260922
116,0.020676,0.027231,20260922
117,0.024206,0.027231,20260922
118,0.024710,0.027231,20260922
119,0.022189,0.027231,20260922
120,0.023197,0.027231,20260922
121,0.023701,0.027231,20260922
122,0.021684,0.027231,20260922
123,0.019667,0.027231,20260922
124,0.018154,0.027231,20260922
125,0.015129,0.027231,20260922
126,0.017146,0.027231,20260922
127,0.016641,0.027231,20260922
128,0.024206,0.027231,20260922
129,0.020676,0.027231,20260922
130,0.020171,0.027231,20260922
131,0.024206,0.027231,20260922
132,0.025719,0.027231,20260922
133,0.021180,0.027231,20260922
134,0.020171,0.027231,20260922
135,0.017146,0.027231,20260922
136,0.016641,0.027231,20260922
137,0.016641,0.027231,20260922
138,0.026727,0.027231,20260922
139,0.020676,0.027231,20260922
140,0.015129,0.027231,20260922
141,0.020676,0.027231,20260922
142,0.021684,0.027231,20260922
143,0.018154,0.027231,20260922
144,0.017650,0.027231,20260922
145,0.022693,0.027231,20260922
146,0.024206,0.027231,20260922
147,0.016137,0.027231,20260922
148,0.016641,0.027231,20260922
149,0.021180,0.027231,20260922
150,0.018154,0.027231,20260922
151,0.022189,0.027231,20260922
152,0.020171,0.027231,20260922
153,0.018659,0.027231,20260922
154,0.026223,0.027231,20260922
155,0.020171,0.027231,20260922
156,0.018154,0.027231,20260922
157,0.017650,0.027231,20260922
158,0.025214,0.027231,20260922
159,0.021180,0.027231,20260922
160,0.018154,0.027231,20260922
161,0.020171,0.027231,20260922
162,0.020676,0.027231,20260922
163,0.018154,0.027231,20260922
164,0.022693,0.027231,20260922
165,0.021684,0.027231,20260922
166,0.019667,0.027231,20260922
167,0.025719,0.027231,20260922
168,0.021684,0.027231,20260922
169,0.020171,0.027231,20260922
170,0.026223,0.027231,20260922
171,0.022693,0.027231,20260922
172,0.017146,0.027231,20260922
173,0.015633,0.027231,20260922
174,0.015129,0.027231,20260922
175,0.020171,0.027231,20260922
176,0.025214,0.027231,20260922
177,0.017650,0.027231,20260922
178,0.024710,0.027231,20260922
179,0.019667,0.027231,20260922
180,0.020676,0.027231,20260922
181,0.021180,0.027231,20260922
182,0.016137,0.027231,20260922
183,0.028240,0.027231,20260922
184,0.023197,0.027231,20260922
185,0.023197,0.027231,20260922
186,0.017650,0.027231,20260922
187,0.021180,0.027231,20260922
188,0.019667,0.027231,20260922
189,0.015129,0.027231,20260922
190,0.025214,0.027231,20260922
191,0.017146,0.027231,20260922
192,0.016641,0.027231,20260922
193,0.015633,0.027231,20260922
194,0.020676,0.027231,20260922
195,0.018659,0.027231,20260922
196,0.025214,0.027231,20260922
197,0.020171,0.027231,20260922
198,0.018659,0.027231,20260922
199,0.018154,0.027231,20260922
