composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
false,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0401,0,2.107,1,2,137,72.64
false,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.3211,0,3.768,1,2,137,72.64
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0046,0,4.247,0,0,175,72.64
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0088,0,6.775,0,0,175,72.64
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1021,0,2.107,0,0,175,72.64
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0723,0,2.107,0,0,175,72.64
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0026,0,3.768,0,0,175,72.64
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1577,0,4.247,1,0,175,72.64
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.5122,1,6.775,1,0,175,72.64
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0378,0,2.107,1,0,175,72.64
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0504,0,2.107,1,0,175,72.64
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1224,0,3.768,1,0,175,72.64
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1703,0,4.247,1,1,175,72.64
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3236,0,6.775,1,1,175,72.64
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0614,0,2.107,1,1,175,72.64
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0368,0,2.107,1,1,175,72.64
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0966,0,3.768,1,1,175,72.64
false,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2151,0,4.247,1,2,175,72.64
false,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3914,0,6.775,1,2,175,72.64
false,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0409,0,2.107,1,2,175,72.64
false,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0545,0,2.107,1,2,175,72.64
false,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1381,0,3.768,1,2,175,72.64
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0047,0,4.247,0,0,200,72.64
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0092,0,6.775,0,0,200,72.64
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1021,0,2.107,0,0,200,72.64
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0723,0,2.107,0,0,200,72.64
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0027,0,3.768,0,0,200,72.64
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2146,0,4.247,1,0,200,72.64
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1756,0,6.775,1,0,200,72.64
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0816,0,2.107,1,0,200,72.64
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0795,0,2.107,1,0,200,72.64
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.2454,0,3.768,1,0,200,72.64
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2205,0,4.247,1,1,200,72.64
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1847,0,6.775,1,1,200,72.64
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0976,0,2.107,1,1,200,72.64
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1148,0,2.107,1,1,200,72.64
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1159,0,3.768,1,1,200,72.64
