parcel_id,objects_over,best_iou,chip
3656,0,0.0,g1_0730.tif
3877,0,0.0,g1_0775.tif
3878,0,0.0,g1_0775.tif
3879,0,0.0,g1_0775.tif
3880,0,0.0,g1_0775.tif
3881,0,0.0,g1_0775.tif
4082,0,0.0,g1_0817.tif
4083,0,0.0,g1_0817.tif
4084,0,0.0,g1_0817.tif
4085,0,0.0,g1_0817.tif
4086,0,0.0,g1_0817.tif
4447,0,0.0,g1_0890.tif
4448,0,0.0,g1_0890.tif
4449,0,0.0,g1_0890.tif
4450,0,0.0,g1_0890.tif
4451,0,0.0,g1_0890.tif
5057,0,0.0,g1_1012.tif
5058,1,0.175,g1_1012.tif
5059,0,0.0,g1_1012.tif
5060,0,0.0,g1_1012.tif
5061,0,0.0,g1_1012.tif
5357,0,0.0,g1_1072.tif
5358,0,0.0,g1_1072.tif
5359,0,0.0,g1_1072.tif
5360,0,0.0,g1_1072.tif
5361,0,0.0,g1_1072.tif
5677,0,0.0,g1_1136.tif
5678,0,0.0,g1_1136.tif
5679,0,0.0,g1_1136.tif
5680,0,0.0,g1_1136.tif
5681,0,0.0,g1_1136.tif
5952,0,0.0,g1_1191.tif
5953,0,0.0,g1_1191.tif
5954,0,0.0,g1_1191.tif
5955,0,0.0,g1_1191.tif
5956,0,0.0,g1_1191.tif
6237,0,0.0,g1_1248.tif
6238,0,0.0,g1_1248.tif
6239,0,0.0,g1_1248.tif
6240,0,0.0,g1_1248.tif
6241,0,0.0,g1_1248.tif
7648,0,0.0,g1_1530.tif
7649,0,0.0,g1_1530.tif
7650,0,0.0,g1_1530.tif
7651,0,0.0,g1_1530.tif
7652,0,0.0,g1_1530.tif
7778,0,0.0,g1_1556.tif
7779,0,0.0,g1_1556.tif
7780,0,0.0,g1_1556.tif
7781,0,0.0,g1_1556.tif
7782,0,0.0,g1_1556.tif
7888,0,0.0,g1_1578.tif
7889,0,0.0,g1_1578.tif
7890,0,0.0,g1_1578.tif
7891,0,0.0,g1_1578.tif
7892,0,0.0,g1_1578.tif
8513,0,0.0,g1_1703.tif
8514,0,0.0,g1_1703.tif
8515,0,0.0,g1_1703.tif
8516,0,0.0,g1_1703.tif
8517,0,0.0,g1_1703.tif
8733,0,0.0,g1_1747.tif
8734,0,0.0,g1_1747.tif
8735,0,0.0,g1_1747.tif
8736,0,0.0,g1_1747.tif
8737,0,0.0,g1_1747.tif
9138,0,0.0,g1_1828.tif
9139,0,0.0,g1_1828.tif
9140,0,0.0,g1_1828.tif
9141,0,0.0,g1_1828.tif
9142,0,0.0,g1_1828.tif
9368,0,0.0,g1_1874.tif
9369,0,0.0,g1_1874.tif
9370,0,0.0,g1_1874.tif
9371,0,0.0,g1_1874.tif
9372,0,0.0,g1_1874.tif
9398,0,0.0,g1_1880.tif
9399,0,0.0,g1_1880.tif
9400,0,0.0,g1_1880.tif
9401,0,0.0,g1_1880.tif
9402,0,0.0,g1_1880.tif
9633,0,0.0,g1_1927.tif
9634,0,0.0,g1_1927.tif
9635,0,0.0,g1_1927.tif
9636,0,0.0,g1_1927.tif
9637,0,0.0,g1_1927.tif
9658,0,0.0,g1_1932.tif
9659,0,0.0,g1_1932.tif
9660,0,0.0,g1_1932.tif
9661,0,0.0,g1_1932.tif
9662,0,0.0,g1_1932.tif
9728,0,0.0,g1_1946.tif
9729,0,0.0,g1_1946.tif
9730,0,0.0,g1_1946.tif
9731,0,0.0,g1_1946.tif
9732,0,0.0,g1_1946.tif
9808,0,0.0,g1_1962.tif
9809,0,0.0,g1_1962.tif
9810,0,0.0,g1_1962.tif
9811,0,0.0,g1_1962.tif
9812,0,0.0,g1_1962.tif
9873,0,0.0,g1_1975.tif
9874,0,0.0,g1_1975.tif
9875,0,0.0,g1_1975.tif
9876,0,0.0,g1_1975.tif
9877,1,0.0175,g1_1975.tif
1,0,0.0,g2_0000.tif
2,0,0.0,g2_0000.tif
3,0,0.0,g2_0000.tif
4,0,0.0,g2_0000.tif
10,0,0.0,g2_0002.tif
11,0,0.0,g2_0002.tif
12,0,0.0,g2_0002.tif
13,0,0.0,g2_0002.tif
14,1,0.6364,g2_0002.tif
30,0,0.0,g2_0006.tif
31,0,0.0,g2_0006.tif
32,0,0.0,g2_0006.tif
33,0,0.0,g2_0006.tif
34,0,0.0,g2_0006.tif
35,1,0.0056,g2_0007.tif
36,0,0.0,g2_0007.tif
37,0,0.0,g2_0007.tif
38,0,0.0,g2_0007.tif
39,0,0.0,g2_0007.tif
50,0,0.0,g2_0010.tif
51,0,0.0,g2_0010.tif
52,0,0.0,g2_0010.tif
53,0,0.0,g2_0010.tif
54,0,0.0,g2_0010.tif
55,1,0.0044,g2_0011.tif
56,0,0.0,g2_0011.tif
57,0,0.0,g2_0011.tif
58,1,0.0117,g2_0011.tif
59,4,0.0339,g2_0011.tif
65,0,0.0,g2_0013.tif
66,0,0.0,g2_0013.tif
67,0,0.0,g2_0013.tif
68,2,0.067,g2_0013.tif
69,1,0.0423,g2_0013.tif
85,1,0.3111,g2_0017.tif
86,1,0.5797,g2_0017.tif
87,1,0.4878,g2_0017.tif
88,4,0.2579,g2_0017.tif
89,1,0.4557,g2_0017.tif
90,0,0.0,g2_0018.tif
91,0,0.0,g2_0018.tif
92,0,0.0,g2_0018.tif
93,0,0.0,g2_0018.tif
94,0,0.0,g2_0018.tif
110,0,0.0,g2_0022.tif
111,0,0.0,g2_0022.tif
112,0,0.0,g2_0022.tif
113,0,0.0,g2_0022.tif
114,0,0.0,g2_0022.tif
300,1,0.537,g2_0060.tif
301,1,0.5952,g2_0060.tif
302,1,0.5924,g2_0060.tif
303,2,0.2833,g2_0060.tif
304,1,0.5831,g2_0060.tif
310,0,0.0,g2_0062.tif
311,0,0.0,g2_0062.tif
312,1,0.0156,g2_0062.tif
313,0,0.0,g2_0062.tif
314,1,0.0227,g2_0062.tif
325,0,0.0,g2_0065.tif
326,0,0.0,g2_0065.tif
327,0,0.0,g2_0065.tif
328,0,0.0,g2_0065.tif
329,0,0.0,g2_0065.tif
355,0,0.0,g2_0071.tif
356,0,0.0,g2_0071.tif
357,0,0.0,g2_0071.tif
358,0,0.0,g2_0071.tif
359,0,0.0,g2_0071.tif
360,1,0.6895,g2_0072.tif
361,1,0.6588,g2_0072.tif
362,1,0.6097,g2_0072.tif
363,1,0.5903,g2_0072.tif
364,1,0.664,g2_0072.tif
375,0,0.0,g2_0075.tif
376,0,0.0,g2_0075.tif
377,1,0.0053,g2_0075.tif
378,0,0.0,g2_0075.tif
379,1,0.0114,g2_0075.tif
385,2,0.2821,g2_0077.tif
386,2,0.2,g2_0077.tif
387,1,0.6,g2_0077.tif
388,3,0.2464,g2_0077.tif
389,1,0.4847,g2_0077.tif
490,1,0.1922,g2_0098.tif
491,3,0.1743,g2_0098.tif
492,2,0.3005,g2_0098.tif
493,2,0.297,g2_0098.tif
494,2,0.0142,g2_0098.tif
505,2,0.0889,g2_0101.tif
506,3,0.0485,g2_0101.tif
507,2,0.0315,g2_0101.tif
508,5,0.0499,g2_0101.tif
509,2,0.1633,g2_0101.tif
525,1,0.0536,g2_0105.tif
526,1,0.225,g2_0105.tif
527,1,0.4118,g2_0105.tif
528,0,0.0,g2_0105.tif
529,1,0.3816,g2_0105.tif
560,0,0.0,g2_0112.tif
561,0,0.0,g2_0112.tif
562,0,0.0,g2_0112.tif
563,0,0.0,g2_0112.tif
564,0,0.0,g2_0112.tif
575,4,0.0932,g2_0115.tif
576,4,0.2015,g2_0115.tif
578,5,0.1149,g2_0115.tif
579,4,0.083,g2_0115.tif
671,1,0.2665,g2_0134.tif
672,2,0.1543,g2_0134.tif
673,2,0.0073,g2_0134.tif
674,1,0.4293,g2_0134.tif
675,1,0.4516,g2_0134.tif
676,2,0.1745,g2_0135.tif
677,2,0.314,g2_0135.tif
678,3,0.2182,g2_0135.tif
679,2,0.0864,g2_0135.tif
680,2,0.1161,g2_0135.tif
686,0,0.0,g2_0137.tif
687,1,0.0526,g2_0137.tif
688,5,0.0239,g2_0137.tif
689,0,0.0,g2_0137.tif
690,2,0.09,g2_0137.tif
696,0,0.0,g2_0139.tif
697,2,0.0345,g2_0139.tif
698,0,0.0,g2_0139.tif
699,2,0.0592,g2_0139.tif
700,2,0.303,g2_0139.tif
716,1,0.0024,g2_0143.tif
717,2,0.0026,g2_0143.tif
718,6,0.0134,g2_0143.tif
719,3,0.0035,g2_0143.tif
720,0,0.0,g2_0143.tif
746,2,0.1497,g2_0149.tif
747,4,0.3654,g2_0149.tif
748,4,0.2813,g2_0149.tif
749,1,0.7774,g2_0149.tif
750,1,0.6936,g2_0149.tif
826,1,0.2519,g2_0165.tif
827,1,0.2969,g2_0165.tif
828,1,0.4307,g2_0165.tif
829,1,0.38,g2_0165.tif
830,1,0.4318,g2_0165.tif
