country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_0773.tif,3869,193,0.7105,71.05,0.4878,0,6.674
india,g0_0773.tif,3870,162,0.5964,59.64,0.4085,0,5.581
india,g0_0773.tif,3871,285,1.0492,104.92,0.7507,1,7.533
india,g0_0792.tif,3957,66,0.243,24.3,0.369,0,4.247
india,g0_0792.tif,3958,39,0.1436,14.36,0.4368,0,3.034
india,g0_0792.tif,3959,39,0.1436,14.36,0.2821,0,3.034
india,g0_0792.tif,3960,50,0.1841,18.41,0.1752,0,3.231
india,g0_0792.tif,3961,46,0.1693,16.93,0.2869,0,3.034
india,g0_0803.tif,4012,34,0.1252,12.52,0.2683,0,2.107
india,g0_0803.tif,4013,46,0.1693,16.93,0.1485,0,3.034
india,g0_0803.tif,4014,40,0.1473,14.73,0.183,0,3.034
india,g0_0803.tif,4015,46,0.1693,16.93,0.2033,0,3.034
india,g0_0803.tif,4016,46,0.1693,16.93,0.2033,0,3.768
india,g0_0807.tif,4032,37,0.1362,13.62,0.3273,0,2.825
india,g0_0807.tif,4033,18,0.0663,6.63,0.1651,0,1.109
india,g0_0807.tif,4034,28,0.1031,10.31,0.1513,0,2.107
india,g0_0807.tif,4035,18,0.0663,6.63,0.3036,0,1.82
india,g0_0807.tif,4036,21,0.0773,7.73,0.3571,0,2.107
india,g0_0808.tif,4037,356,1.3105,131.05,0.3641,0,7.888
india,g0_0808.tif,4038,233,0.8577,85.77,0.6327,1,6.674
india,g0_0808.tif,4039,240,0.8835,88.35,0.639,1,6.469
india,g0_0808.tif,4040,195,0.7178,71.78,0.5261,1,6.775
india,g0_0808.tif,4041,128,0.4712,47.12,0.6906,1,5.928
india,g0_0879.tif,4392,183,0.6737,67.37,0.3122,0,5.461
india,g0_0879.tif,4393,382,1.4062,140.62,0.4948,0,10.581
india,g0_0879.tif,4394,339,1.248,124.8,0.3333,0,7.888
india,g0_0879.tif,4395,170,0.6258,62.58,0.3173,0,4.247
india,g0_0879.tif,4396,380,1.3989,139.89,0.2098,0,9.101
india,g0_0943.tif,4712,147,0.5411,54.11,0.6122,1,5.461
india,g0_0943.tif,4713,69,0.254,25.4,0.7037,1,3.231
india,g0_0943.tif,4714,144,0.5301,53.01,0.5833,1,6.674
india,g0_0943.tif,4715,239,0.8798,87.98,0.424,0,4.82
india,g0_0943.tif,4716,147,0.5411,54.11,0.3506,0,5.461
india,g0_0957.tif,4782,160,0.589,58.9,0.4972,0,5.461
india,g0_0957.tif,4783,128,0.4712,47.12,0.3348,0,3.768
india,g0_0957.tif,4784,183,0.6737,67.37,0.4628,0,5.461
india,g0_0957.tif,4785,202,0.7436,74.36,0.5149,1,5.928
india,g0_0957.tif,4786,141,0.5191,51.91,0.3125,0,3.768
india,g0_0979.tif,4892,210,0.7731,77.31,0.2952,0,7.888
india,g0_0979.tif,4893,179,0.6589,65.89,0.4645,0,6.674
india,g0_0979.tif,4894,316,1.1633,116.33,0.3518,0,8.227
india,g0_0979.tif,4895,216,0.7952,79.52,0.3333,0,7.888
