parcel_id,objects_over,best_iou,chip
6836,4,0.29,g0_1367.tif
6993,3,0.6705,g0_1399.tif
6994,2,0.6505,g0_1399.tif
6995,7,0.4909,g0_1399.tif
6996,6,0.5611,g0_1399.tif
6997,5,0.4827,g0_1399.tif
7008,3,0.4124,g0_1402.tif
7009,5,0.7377,g0_1402.tif
7010,2,0.2348,g0_1402.tif
7011,4,0.3025,g0_1402.tif
7012,6,0.6438,g0_1402.tif
7298,6,0.2311,g0_1460.tif
7299,3,0.2139,g0_1460.tif
7300,3,0.1798,g0_1460.tif
7301,2,0.2124,g0_1460.tif
7302,5,0.2141,g0_1460.tif
7443,5,0.3616,g0_1489.tif
7444,8,0.2526,g0_1489.tif
7445,6,0.6412,g0_1489.tif
7446,6,0.6667,g0_1489.tif
7447,6,0.7526,g0_1489.tif
7468,3,0.6614,g0_1494.tif
7469,7,0.2632,g0_1494.tif
7470,2,0.503,g0_1494.tif
7471,7,0.5175,g0_1494.tif
7472,12,0.2861,g0_1494.tif
7518,2,0.4388,g0_1504.tif
7519,3,0.3699,g0_1504.tif
7520,5,0.7527,g0_1504.tif
7521,2,0.2793,g0_1504.tif
7522,3,0.2735,g0_1504.tif
7533,1,0.0752,g0_1507.tif
7534,1,0.0882,g0_1507.tif
7535,1,0.134,g0_1507.tif
7536,1,0.0752,g0_1507.tif
7537,2,0.1026,g0_1507.tif
7693,5,0.4302,g0_1539.tif
7694,3,0.6576,g0_1539.tif
7695,7,0.6847,g0_1539.tif
7696,9,0.4305,g0_1539.tif
7697,6,0.4972,g0_1539.tif
7748,5,0.4651,g0_1550.tif
7749,6,0.233,g0_1550.tif
7750,4,0.3641,g0_1550.tif
7751,5,0.5796,g0_1550.tif
7752,3,0.2438,g0_1550.tif
8033,6,0.4978,g0_1607.tif
8034,6,0.66,g0_1607.tif
8035,9,0.3549,g0_1607.tif
8036,5,0.6593,g0_1607.tif
8037,11,0.25,g0_1607.tif
8173,3,0.3705,g0_1635.tif
8174,2,0.495,g0_1635.tif
8175,3,0.2222,g0_1635.tif
8176,5,0.5676,g0_1635.tif
8177,4,0.5703,g0_1635.tif
8253,5,0.5324,g0_1651.tif
8254,6,0.2659,g0_1651.tif
8255,6,0.5134,g0_1651.tif
8256,5,0.5479,g0_1651.tif
8257,8,0.5281,g0_1651.tif
8433,6,0.6505,g0_1687.tif
8434,3,0.2342,g0_1687.tif
8435,2,0.2258,g0_1687.tif
8436,5,0.3504,g0_1687.tif
8437,6,0.3387,g0_1687.tif
8603,2,0.2891,g0_1721.tif
8604,5,0.337,g0_1721.tif
8605,4,0.3975,g0_1721.tif
8606,3,0.5605,g0_1721.tif
8607,5,0.4058,g0_1721.tif
8808,4,0.3257,g0_1762.tif
8809,6,0.2766,g0_1762.tif
8810,2,0.3419,g0_1762.tif
8811,3,0.3184,g0_1762.tif
8812,2,0.1704,g0_1762.tif
8878,4,0.4884,g0_1776.tif
8879,3,0.3456,g0_1776.tif
8880,3,0.7746,g0_1776.tif
8881,2,0.3692,g0_1776.tif
8882,4,0.4479,g0_1776.tif
8968,3,0.1818,g0_1794.tif
8969,2,0.2174,g0_1794.tif
8970,3,0.3619,g0_1794.tif
8971,2,0.4789,g0_1794.tif
8972,4,0.3133,g0_1794.tif
9028,4,0.6066,g0_1806.tif
9029,7,0.4424,g0_1806.tif
9030,6,0.4356,g0_1806.tif
9031,5,0.451,g0_1806.tif
9032,5,0.6774,g0_1806.tif
9098,1,0.19,g0_1820.tif
9099,3,0.1597,g0_1820.tif
9100,3,0.1855,g0_1820.tif
9101,3,0.1295,g0_1820.tif
