product,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
gee_lee,-21.0,0.3268,0.6209,0.6939,0.5277,0.804,0.6056,13923.3
gee_lee,-20.75,0.3351,0.6211,0.6985,0.5312,0.7887,0.6194,14516.9
gee_lee,-20.5,0.3423,0.6205,0.7023,0.5336,0.7717,0.6337,15178.4
gee_lee,-20.25,0.3481,0.619,0.705,0.5347,0.7531,0.6484,15915.3
gee_lee,-20.0,0.3522,0.6164,0.7069,0.5344,0.7328,0.6637,16741.4
gee_lee,-19.75,0.3546,0.6123,0.7073,0.5322,0.7107,0.6794,17670.4
gee_lee,-19.5,0.3548,0.6067,0.7063,0.5282,0.6871,0.6955,18707.9
gee_lee,-19.25,0.3532,0.5992,0.7039,0.5224,0.6623,0.7119,19867.5
gee_lee,-19.0,0.3493,0.5903,0.6997,0.5145,0.6365,0.7286,21159.1
gee_lee,-18.75,0.3435,0.5794,0.6935,0.5046,0.6096,0.7454,22602.6
gee_lee,-18.5,0.3358,0.5664,0.6856,0.4927,0.5821,0.7622,24201.8
gee_lee,-18.25,0.3266,0.5515,0.6753,0.479,0.5542,0.7791,25983.4
gee_lee,-18.0,0.3159,0.5346,0.6635,0.4636,0.5261,0.7959,27961.1
gee_lee,-17.75,0.3039,0.5161,0.6497,0.4467,0.4982,0.8123,30136.8
gee_lee,-17.5,0.291,0.4968,0.6342,0.4289,0.4707,0.8284,32526.7
gee_lee,-17.25,0.2777,0.4764,0.6167,0.4103,0.444,0.8439,35133.9
gee_lee,-17.0,0.2639,0.4555,0.5977,0.3911,0.418,0.8589,37982.6
gee_lee,-16.75,0.25,0.4343,0.5771,0.3716,0.3929,0.873,41070.8
gee_lee,-16.5,0.2362,0.4129,0.5554,0.3522,0.3688,0.8864,44426.4
gee_lee,-16.25,0.2227,0.3912,0.5327,0.3329,0.3458,0.8992,48066.5
gee_lee,-16.0,0.2095,0.3699,0.5092,0.3139,0.3238,0.911,51993.7
gee_lee,-15.75,0.1968,0.349,0.4852,0.2955,0.3031,0.9219,56212.4
gee_lee,-15.5,0.1849,0.3284,0.461,0.2779,0.2836,0.932,60731.3
gee_lee,-15.25,0.1734,0.3086,0.4367,0.261,0.2653,0.9409,65551.3
gee_lee,-15.0,0.1628,0.2893,0.413,0.245,0.2483,0.9491,70665.9
gee_lee,-14.75,0.1531,0.2713,0.3898,0.2301,0.2325,0.9565,76033.7
gee_lee,-14.5,0.1441,0.2545,0.3677,0.2163,0.2181,0.9629,81612.6
gee_lee,-14.25,0.136,0.2391,0.3469,0.2037,0.205,0.9686,87320.2
gee_lee,-14.0,0.1287,0.2254,0.3278,0.1924,0.1934,0.9736,93046.5
gee_lee,-13.75,0.1223,0.2133,0.3106,0.1824,0.1832,0.9778,98675.9
gee_lee,-13.5,0.1167,0.2027,0.2953,0.1737,0.1743,0.9815,104111.0
gee_lee,-13.25,0.1119,0.1937,0.282,0.1662,0.1666,0.9845,109237.7
gee_lee,-13.0,0.1078,0.186,0.2705,0.1597,0.1601,0.987,113978.9
gee_lee,-12.75,0.1044,0.1796,0.2608,0.1543,0.1546,0.9891,118266.7
gee_lee,-12.5,0.1015,0.1742,0.2525,0.1498,0.15,0.9908,122080.3
gee_lee,-12.25,0.0991,0.1698,0.2457,0.1461,0.1462,0.9921,125415.4
gee_lee,-12.0,0.0971,0.1662,0.24,0.143,0.1431,0.9932,128268.8
gee_lee,-11.75,0.0955,0.1632,0.2353,0.1405,0.1406,0.994,130683.9
