variant,chip_id,split,threshold,tiles_accepted,tiles_examined,truth_water_frac,pred_water_frac,iou
v3_tiled_vh,383430,train,-15.06,14,16,0.1561,0.2980,0.3065
v3_tiled_vh,391908,train,-16.00,14,16,0.1227,0.4060,0.2512
v3_tiled_vh,399883,test,-19.95,15,16,0.5200,0.5574,0.7445
v3_tiled_vh,44475,test,-12.86,16,16,0.0000,0.5419,0.0000
v3_tiled_vh,500266,train,-16.38,16,16,0.1457,0.4310,0.2723
v3_tiled_vh,533192,valid,-19.68,7,16,0.3628,0.3509,0.6565
v3_tiled_vh,534470,train,-14.26,16,16,0.0297,0.4637,0.0622
v3_tiled_vh,56450,train,-13.69,16,16,0.0005,0.5512,0.0008
v3_tiled_vh,566697,train,-16.29,16,16,0.0682,0.3971,0.1515
v3_tiled_vh,570384,test,-15.75,16,16,0.0601,0.2671,0.1979
v3_tiled_vh,591317,test,-18.31,14,16,0.4635,0.4953,0.8653
v3_tiled_vh,591549,train,-14.52,16,16,0.0450,0.4467,0.0876
v3_tiled_vh,592446,test,-14.73,15,16,0.0403,0.3929,0.1005
v3_tiled_vh,59460,train,-13.42,16,16,0.0015,0.5430,0.0026
v3_tiled_vh,624341,train,-13.53,16,16,0.0123,0.5384,0.0198
v3_tiled_vh,631692,test,-13.27,16,16,0.0031,0.5669,0.0053
v3_tiled_vh,652725,train,-16.51,16,16,0.0832,0.3835,0.1769
v3_tiled_vh,664410,train,-16.47,16,16,0.0516,0.5469,0.0793
v3_tiled_vh,691027,valid,-14.97,12,16,0.0330,0.2997,0.0908
v3_tiled_vh,698338,train,-15.30,16,16,0.0436,0.4308,0.0955
v3_tiled_vh,70352,valid,-15.06,12,16,0.0551,0.2895,0.1831
v3_tiled_vh,707886,train,-13.66,12,16,0.0221,0.5962,0.0368
v3_tiled_vh,73419,train,-14.64,15,16,0.0349,0.4990,0.0501
v3_tiled_vh,747970,train,-13.30,14,16,0.0203,0.5324,0.0369
v3_tiled_vh,747992,test,-17.91,16,16,0.4476,0.5160,0.6391
